"ensembl_gene_id" "entrezgene_id"
"505" "ENSDARG00000095950" NA
"506" "ENSDARG00000098868" 558662
"507" "ENSDARG00000053200" 560362
"508" "ENSDARG00000017107" 445214
"509" "ENSDARG00000004789" 565136
"510" "ENSDARG00000069415" 557257
"511" "ENSDARG00000004840" 447811
"512" "ENSDARG00000097224" 101886780
"513" "ENSDARG00000092218" 100148313
"514" "ENSDARG00000090949" 101883945
"515" "ENSDARG00000078127" 555331
"516" "ENSDARG00000100508" 561642
"517" "ENSDARG00000078859" 568476
"518" "ENSDARG00000096607" NA
"519" "ENSDARG00000095200" 100331576
"520" "ENSDARG00000105176" 792547
"521" "ENSDARG00000020134" 562521
"522" "ENSDARG00000087659" 563077
"523" "ENSDARG00000105013" 58047
"524" "ENSDARG00000078169" 568759
"525" "ENSDARG00000002732" 30202
"526" "ENSDARG00000073743" 387000
"527" "ENSDARG00000096788" NA
"528" "ENSDARG00000036065" 558524
"529" "ENSDARG00000104815" 554361
"530" "ENSDARG00000021033" 393157
"531" "ENSDARG00000061348" 792614
"532" "ENSDARG00000030803" 553573
"533" "ENSDARG00000075517" 563199
"534" "ENSDARG00000102555" 569467
"535" "ENSDARG00000100256" 101882084
"536" "ENSDARG00000016375" 394138
"537" "ENSDARG00000060068" 780841
"538" "ENSDARG00000014239" 571083
"539" "ENSDARG00000004517" 572027
"540" "ENSDARG00000055889" 777631
"541" "ENSDARG00000054170" 100537296
"542" "ENSDARG00000097204" NA
"543" "ENSDARG00000036136" 445058
"544" "ENSDARG00000097830" NA
"545" "ENSDARG00000090557" 100007488
"546" "ENSDARG00000105455" NA
"547" "ENSDARG00000037018" 406666
"548" "ENSDARG00000104181" 798430
"549" "ENSDARG00000097985" NA
"550" "ENSDARG00000030012" 407677
"551" "ENSDARG00000063145" 571106
"552" "ENSDARG00000009612" 406819
"553" "ENSDARG00000099365" NA
"554" "ENSDARG00000001785" 394032
"555" "ENSDARG00000096918" NA
"556" "ENSDARG00000070567" 100001129
"557" "ENSDARG00000036816" 100537384
"558" "ENSDARG00000008790" 100038776
"559" "ENSDARG00000076752" 572194
"560" "ENSDARG00000074034" 555224
"561" "ENSDARG00000096463" NA
"562" "ENSDARG00000095068" NA
"563" "ENSDARG00000071465" 550456
"564" "ENSDARG00000029533" 445038
"565" "ENSDARG00000090764" 393594
"566" "ENSDARG00000022648" 405858
"567" "ENSDARG00000100358" NA
"568" "ENSDARG00000041449" 406513
"569" "ENSDARG00000009870" 65236
"570" "ENSDARG00000092378" NA
"571" "ENSDARG00000098798" NA
"572" "ENSDARG00000068731" 558546
"573" "ENSDARG00000025340" 436675
"574" "ENSDARG00000041007" 101883115
"575" "ENSDARG00000001776" 563901
"576" "ENSDARG00000101445" 393851
"577" "ENSDARG00000019457" 564996
"578" "ENSDARG00000052388" 692252
"579" "ENSDARG00000103110" NA
"580" "ENSDARG00000102062" NA
"581" "ENSDARG00000078280" 555375
"582" "ENSDARG00000058673" 103909014
"583" "ENSDARG00000058673" 106144554
"584" "ENSDARG00000093100" NA
"585" "ENSDARG00000090116" 100329287
"586" "ENSDARG00000103862" 58049
"587" "ENSDARG00000103862" 58050
"588" "ENSDARG00000102464" 30105
"589" "ENSDARG00000105194" NA
"590" "ENSDARG00000094889" 100004361
"591" "ENSDARG00000094889" 108180184
"592" "ENSDARG00000014311" 777617
"593" "ENSDARG00000100605" NA
"594" "ENSDARG00000095149" NA
"595" "ENSDARG00000092125" NA
"596" "ENSDARG00000095654" NA
"597" "ENSDARG00000014898" 192325
"598" "ENSDARG00000056801" 100001615
"599" "ENSDARG00000094498" NA
"600" "ENSDARG00000098153" 550224
"601" "ENSDARG00000087301" 797707
"602" "ENSDARG00000092714" 557488
"603" "ENSDARG00000112103" 570343
"604" "ENSDARG00000019362" 323490
"605" "ENSDARG00000070497" 571411
"606" "ENSDARG00000086613" 110438134
"607" "ENSDARG00000035161" 559418
"608" "ENSDARG00000105592" NA
"609" "ENSDARG00000091252" 100001838
"610" "ENSDARG00000095943" NA
"611" "ENSDARG00000058365" 791580
"612" "ENSDARG00000069715" 387256
"613" "ENSDARG00000096462" NA
"614" "ENSDARG00000018494" 30432
"615" "ENSDARG00000034165" 564943
"616" "ENSDARG00000046002" 553536
"617" "ENSDARG00000028213" 317731
"618" "ENSDARG00000062350" 558800
"619" "ENSDARG00000076790" 798701
"620" "ENSDARG00000101032" 494079
"621" "ENSDARG00000028982" 437019
"622" "ENSDARG00000002332" 321937
"623" "ENSDARG00000093656" 100002333
"624" "ENSDARG00000045801" 324835
"625" "ENSDARG00000096250" NA
"626" "ENSDARG00000009738" 562422
"627" "ENSDARG00000111761" NA
"628" "ENSDARG00000062874" 100148539
"629" "ENSDARG00000096720" NA
"630" "ENSDARG00000041708" 562636
"631" "ENSDARG00000041708" 100303756
"632" "ENSDARG00000016936" 559150
"633" "ENSDARG00000005150" 57936
"634" "ENSDARG00000096855" NA
"635" "ENSDARG00000104718" NA
"636" "ENSDARG00000073718" 798813
"637" "ENSDARG00000092327" 108191950
"638" "ENSDARG00000019492" 322604
"639" "ENSDARG00000022623" 494034
"640" "ENSDARG00000036545" NA
"641" "ENSDARG00000095283" 100002257
"642" "ENSDARG00000100560" 568464
"643" "ENSDARG00000063213" 556465
"644" "ENSDARG00000062749" 768122
"645" "ENSDARG00000100077" NA
"646" "ENSDARG00000035820" 503565
"647" "ENSDARG00000044532" 436679
"648" "ENSDARG00000051953" 492769
"649" "ENSDARG00000086158" 555629
"650" "ENSDARG00000069423" 555430
"651" "ENSDARG00000043806" 378983
"652" "ENSDARG00000005185" 337172
"653" "ENSDARG00000003952" 394235
"654" "ENSDARG00000035074" 503732
"655" "ENSDARG00000104074" NA
"656" "ENSDARG00000096738" 101882348
"657" "ENSDARG00000017143" 393245
"658" "ENSDARG00000005840" 335974
"659" "ENSDARG00000092863" NA
"660" "ENSDARG00000058647" 101885596
"661" "ENSDARG00000033539" 321193
"662" "ENSDARG00000035819" 558775
"663" "ENSDARG00000097909" 794066
"664" "ENSDARG00000097754" NA
"665" "ENSDARG00000097549" NA
"666" "ENSDARG00000069808" 100320445
"667" "ENSDARG00000093672" 100170822
"668" "ENSDARG00000097262" NA
"669" "ENSDARG00000093852" NA
"670" "ENSDARG00000095497" 108191949
"671" "ENSDARG00000011146" 554154
"672" "ENSDARG00000095103" NA
"673" "ENSDARG00000097671" NA
"674" "ENSDARG00000032496" 447803
"675" "ENSDARG00000025757" 393380
"676" "ENSDARG00000090145" 100534922
"677" "ENSDARG00000060439" 563453
"678" "ENSDARG00000042677" 562183
"679" "ENSDARG00000102501" 58055
"680" "ENSDARG00000075468" 568379
"681" "ENSDARG00000092255" NA
"682" "ENSDARG00000086553" 794214
"683" "ENSDARG00000037266" 393828
"684" "ENSDARG00000093872" 101882212
"685" "ENSDARG00000078060" 100334336
"686" "ENSDARG00000101819" NA
"687" "ENSDARG00000052994" 100535877
"688" "ENSDARG00000058345" 565091
"689" "ENSDARG00000094171" NA
"690" "ENSDARG00000038858" 436729
"691" "ENSDARG00000015623" 559295
"692" "ENSDARG00000096728" NA
"693" "ENSDARG00000103066" NA
"694" "ENSDARG00000100312" 570239
"695" "ENSDARG00000060835" 569212
"696" "ENSDARG00000037491" 334183
"697" "ENSDARG00000058803" 564152
"698" "ENSDARG00000076972" 100136858
"699" "ENSDARG00000094752" 100002865
"700" "ENSDARG00000062262" 405866
"701" "ENSDARG00000104162" 58061
"702" "ENSDARG00000101202" NA
"703" "ENSDARG00000062794" 406849
"704" "ENSDARG00000071741" 553993
"705" "ENSDARG00000008748" 406807
"706" "ENSDARG00000100679" 100126105
"707" "ENSDARG00000102559" NA
"708" "ENSDARG00000057007" 65229
"709" "ENSDARG00000096670" NA
"710" "ENSDARG00000030694" 192335
"711" "ENSDARG00000031435" 336637
"712" "ENSDARG00000090338" 560397
"713" "ENSDARG00000004306" 327574
"714" "ENSDARG00000103046" 564772
"715" "ENSDARG00000062082" 569156
"716" "ENSDARG00000095873" NA
"717" "ENSDARG00000007086" 436621
