id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000089920,1568.291791,0.656145353,0.000205982,0.012200249
ENSDARG00000021154,361.3729828,0.592160136,0.000207216,0.012220296
ENSDARG00000086407,1773.59061,-0.336804634,0.00020752,0.012220296
ENSDARG00000087238,1511.753804,-0.292550724,0.000208127,0.012220688
ENSDARG00000018406,106.9411247,0.725067677,0.000210513,0.01232531
ENSDARG00000070627,14.25363323,0.836864907,0.000212258,NA
ENSDARG00000051939,2210.108978,0.430728881,0.0002157,0.01259278
ENSDARG00000019986,2836.604703,0.62585832,0.000223087,0.012986867
ENSDARG00000063627,2375.32307,-0.344360428,0.000224301,0.013020337
ENSDARG00000086028,2371.967712,-0.37833375,0.000226751,0.013125149
ENSDARG00000068644,637.999017,-0.384614484,0.000230558,0.0133077
ENSDARG00000095635,517.3271556,0.438533173,0.000231348,0.013315588
ENSDARG00000002167,5406.349226,-0.306129989,0.000234603,0.013464864
ENSDARG00000062651,945.4876332,-0.373859463,0.000236246,0.013487387
ENSDARG00000078847,472.0100016,-0.469533145,0.000236319,0.013487387
ENSDARG00000074531,1253.417183,0.247076206,0.000238618,0.013580541
ENSDARG00000024928,6196.448794,0.529926625,0.000244803,0.013893776
ENSDARG00000090962,435.2809169,-0.452019532,0.000246148,0.013931272
ENSDARG00000026376,1961.236788,-0.468480394,0.000249898,0.014087992
